circuitId,trackType
albert_park,street
bahrain,permanent
shanghai,permanent
baku,street
catalunya,permanent
monaco,street
villeneuve,street
ricard,permanent
red_bull_ring,permanent
silverstone,permanent
hockenheimring,permanent
hungaroring,permanent
spa,permanent
monza,permanent
marina_bay,street
sochi,street
suzuka,permanent
americas,permanent
rodriguez,permanent
interlagos,permanent
yas_marina,permanent
mugello,permanent
nurburgring,permanent
portimao,permanent
imola,permanent
istanbul,permanent
zandvoort,permanent
losail,permanent
jeddah,street
miami,street
vegas,street
